"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label"
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Aggregate bands): 55-64","2022",67.126,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Aggregate bands): 65+","2022",40.331,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2021",69.33,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15-64","2021",70.502,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15-24","2021",50.806,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 25+","2021",78.926,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Youth, adults): 15+","2021",75.254,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Youth, adults): 15-64","2021",76.094,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Youth, adults): 15-24","2021",53.625,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Youth, adults): 25+","2021",86.801,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Youth, adults): 15+","2021",63.557,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Youth, adults): 15-64","2021",64.985,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Youth, adults): 15-24","2021",47.949,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Youth, adults): 25+","2021",71.407,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 15+","2021",69.33,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 15-24","2021",50.806,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 25-54","2021",82.523,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 55-64","2021",74.585,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 65+","2021",48.457,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 15+","2021",75.254,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 15-24","2021",53.625,
